     1980         1982
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
